"sid","fail","est","se","icc","identL","identU","identC","identR","identEL","identER","logitL","logitU","logitC","logitR","logitEL","logitER"
1198,0,0.500646118964811,0.0227527271566988,0.0640270664372404,0.454898694912814,0.54639354301681,0.9498,0.0502,0.0262,0.024,0.455022864350177,0.54625685675484,0.9504,0.0496,0.026,0.0236
1199,0,0.500108458823283,0.0234728536126724,0.0540585879133983,0.452913123489019,0.547303794157551,0.946,0.054,0.0292,0.0248,0.453055175489455,0.547159418417365,0.9476,0.0524,0.0282,0.0242
1200,0,0.499803324121119,0.0236295433108239,0.0537664224672408,0.45229294303359,0.547313705208649,0.9474,0.0526,0.0264,0.0262,0.452441573730296,0.547170117918572,0.948,0.052,0.0262,0.0258
1201,0,0.559203924579399,0.0603016359492136,0.082691582892605,0.420148102720935,0.698259746437861,0.9506,0.1374,0.0266,0.0228,0.419415936866774,0.689863093317081,0.9578,0.1214,0.0198,0.0224
1202,0,0.559923167222628,0.0601800096664018,0.0815249317960909,0.421147816075278,0.698698518369975,0.9564,0.1336,0.0254,0.0182,0.420312461128533,0.690225594926946,0.963,0.1156,0.0196,0.0174
1203,0,0.560468947570965,0.0645269899251414,0.0672355955332353,0.411669441971312,0.70926845317062,0.9656,0.12,0.0198,0.0146,0.411010418203238,0.699403667119504,0.9728,0.1024,0.0136,0.0136
1204,0,0.559050203636842,0.0646801648108184,0.0672636581766284,0.409897476117408,0.708202931156275,0.9554,0.1172,0.0248,0.0198,0.409391580374062,0.698396006201065,0.9636,0.0988,0.0178,0.0186
1205,0,0.560187801661235,0.0692197342575009,0.059892879849175,0.400566808225706,0.719808795096765,0.9606,0.108,0.0222,0.0172,0.40019315764513,0.708200666692461,0.9698,0.085,0.0142,0.016
1206,0,0.559355525190755,0.0694350213784609,0.0592379149514813,0.399238078764036,0.719472971617479,0.9582,0.1062,0.0244,0.0174,0.399011118423053,0.707967370978812,0.9692,0.0904,0.0158,0.015
1207,0,0.559424362773346,0.0475776915730487,0.0789616339727813,0.449710009262428,0.669138716284265,0.9558,0.1956,0.021,0.0232,0.448727598518681,0.664209460176998,0.9596,0.1772,0.0172,0.0232
1208,0,0.559939248552372,0.0476508425319205,0.0787803254484484,0.450056208627799,0.669822288476943,0.953,0.1946,0.0256,0.0214,0.449072360778758,0.664879586222244,0.9568,0.1818,0.0218,0.0214
1209,0,0.561285824651095,0.0492675713577194,0.0636561758583894,0.44767460136873,0.674897047933466,0.9494,0.1952,0.028,0.0226,0.446645332430831,0.669504566314415,0.955,0.1768,0.0224,0.0226
1210,0,0.559666817368736,0.0495306796801771,0.0639777666327206,0.445448865206774,0.673884769530697,0.9466,0.1852,0.0292,0.0242,0.444485601299122,0.668511747494484,0.952,0.1696,0.0244,0.0236
1211,0,0.559931325707095,0.0512039689350235,0.0535188265239656,0.441854761604063,0.678007889810122,0.9526,0.1708,0.0266,0.0208,0.440844743688406,0.672128892266079,0.958,0.154,0.0216,0.0204
1212,0,0.560711657798853,0.0513973689403271,0.053577115041661,0.442189112483845,0.679234203113863,0.9514,0.1732,0.0276,0.021,0.441192584325708,0.673342451107568,0.9572,0.1592,0.0218,0.021
1213,0,0.560801525957717,0.0423830757445511,0.0798134813984652,0.471757987992785,0.649845063922651,0.9472,0.2678,0.0284,0.0244,0.470767480978594,0.646911706185637,0.951,0.2528,0.0246,0.0244
1214,0,0.559432828404561,0.0426255198815816,0.080310638096008,0.469879934208615,0.64898572260051,0.9488,0.2558,0.0276,0.0236,0.468943896386558,0.646069014393122,0.9524,0.243,0.0236,0.024
1215,0,0.560325878565061,0.0454620648358384,0.0654428893458143,0.464813624556581,0.655838132573541,0.953,0.2388,0.0276,0.0194,0.463792273075283,0.652430830388556,0.9574,0.2256,0.023,0.0196
1216,0,0.559380234894848,0.0455029675380962,0.06480136686293,0.463782047497689,0.654978422292009,0.9474,0.237,0.0276,0.025,0.462788034401986,0.6515932639801,0.9512,0.2254,0.0236,0.0252
1217,0,0.560153301887417,0.0484033820878556,0.055464625939709,0.458461569636831,0.661845034137997,0.9516,0.216,0.0248,0.0236,0.457384796301911,0.657913972138387,0.9548,0.2022,0.0218,0.0234
1218,0,0.559750494445975,0.0485095974202258,0.0552649235479318,0.457835612062602,0.661665376829346,0.9498,0.2092,0.0272,0.023,0.456774682456832,0.657721545103623,0.9562,0.1962,0.021,0.0228
1219,0,0.560224828562899,0.0341996130508229,0.0803521723372827,0.48837410773671,0.632075549389085,0.9488,0.3866,0.0304,0.0208,0.487618159662098,0.630282284816788,0.9512,0.3756,0.0274,0.0214
1220,0,0.559766120294139,0.034212209199408,0.0800276701069952,0.487888935941766,0.631643304646512,0.9446,0.385,0.0306,0.0248,0.487145591567885,0.629863742960355,0.9492,0.373,0.0256,0.0252
1221,0,0.560029594110076,0.0353505910938135,0.0641149342469314,0.485760758145534,0.634298430074616,0.9478,0.3576,0.0276,0.0246,0.48497163410535,0.632369767742802,0.9518,0.3448,0.0236,0.0246
1222,0,0.559832774833322,0.0354802326959933,0.0644438425662893,0.485291571969428,0.634373977697218,0.9496,0.352,0.0278,0.0226,0.484509703197043,0.632438190961048,0.952,0.3386,0.0254,0.0226
1223,0,0.561068010401767,0.0365929299981678,0.0535631714163261,0.484189117251617,0.637946903551914,0.951,0.3462,0.0274,0.0216,0.483348199282396,0.635840616814139,0.9532,0.3356,0.0248,0.022
1224,0,0.559774900608058,0.0367681113291372,0.0536732699770239,0.482527965138637,0.63702183607748,0.9532,0.3302,0.0236,0.0232,0.481709254947081,0.634924156331834,0.955,0.317,0.0214,0.0236
1225,0,0.559362153432732,0.0348160159244758,0.0801941932810909,0.48804477776418,0.630679529101284,0.9542,0.372,0.0232,0.0226,0.487308216988408,0.628958407036631,0.9576,0.3636,0.0196,0.0228
1226,0,0.560637063046026,0.034859855726048,0.0807579123483678,0.489229885614838,0.632044240477215,0.9488,0.3866,0.03,0.0212,0.488467060621745,0.630292143828037,0.9516,0.3766,0.0268,0.0216
